name,Tier,level,total-exp,web-dev,soft-dev,game-dev,cyber-secu,elective,no-of-tests,avg
Mario,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Darryl,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Kimberly,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Preston,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Blake,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Dennis,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Alison,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Nicolas,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Glenn,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Luke,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Paula,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Olivia,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jasmine,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Tracy,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Tristan,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Marc,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Sophia,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Hannah,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Ruth,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jodi,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Kaitlin,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Adam,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Roberto,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Janelle,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jenny,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jon,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Rebekah,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Ebony,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Kristi,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Katelyn,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Kristine,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Priscilla,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Stephanie,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Clinton,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Barbara,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Grant,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Cristina,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Tonya,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Cindy,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Oscar,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Calvin,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jonathan,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Dominic,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Nina,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Rafael,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jerome,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Tyrone,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Cheryl,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Bobby,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Frederick,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Bethany,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Pedro,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Garrett,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Kristy,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Latasha,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Aimee,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Francisco,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Danny,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Fernando,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Nicholas,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Meredith,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Savannah,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Randall,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Larry,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Hillary,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jeremy,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Erik,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Cody,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Michelle,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jacob,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Derek,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Kathryn,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Ian,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Victor,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jeffrey,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Erin,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Casey,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Cory,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jared,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Leah,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Caitlin,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Mark,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Chelsea,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Evan,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
April,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Zachary,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Paul,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Melody,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Kenneth,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Lindsey,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Catherine,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Patricia,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Cynthia,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Margaret,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Karl,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Alana,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Kelly,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Stacy,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Mandy,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Susana,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Angelo,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Darrell,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Geoffrey,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Regina,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Tiffanie,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Sade,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Guadalupe,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Reginald,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Malcolm,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Israel,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Darius,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Jamal,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Bryant,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Maegan,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Isaiah,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Breanne,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Ivy,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Ashleigh,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Tracie,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Keri,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Kira,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Gwendolyn,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Yesenia,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Marie,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Kate,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Tasha,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Graham,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Lloyd,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Michele,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Gretchen,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Shari,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Ruben,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Audrey,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Tatiana,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Ann,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Shana,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Brianna,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Lora,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Bruce,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Ben,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Deborah,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Connie,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Claudia,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Lesley,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Rocky,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Tera,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Roy,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Jackie,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Virginia,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Brendan,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Rudy,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Wayne,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Karina,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Elliot,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Francis,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Kasey,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Dale,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Christie,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Naomi,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Cesar,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Ernest,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Jake,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Charlene,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Shanna,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Jay,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Hilary,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Eduardo,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Ivan,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Kent,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Emma,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Spencer,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Armando,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Charlotte,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Maggie,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Randi,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Robyn,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Leonard,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Daisy,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Eugene,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Logan,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Ramon,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Marco,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Bryce,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Barry,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Rose,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Suzanne,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Carol,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Ariana,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Carmen,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Martha,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Lydia,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Theodore,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Shawna,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Sierra,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Cathy,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Dena,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Freddie,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Tammy,b,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Alecia,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
Brock,c,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0
