,name,Tier,level,total-exp,web-dev,soft-dev,game-dev,cyber-secu,elective,no-of-tests,avg
63,Erin,a,0,0,0,0,0,0,0,0,0
64,Zachary,a,0,0,0,0,0,0,0,0,0
65,Jamie,a,0,0,0,0,0,0,0,0,0
66,Kelly,a,0,0,0,0,0,0,0,0,0
67,Samantha,a,0,0,0,0,0,0,0,0,0
68,Nathan,a,0,0,0,0,0,0,0,0,0
69,Sara,a,0,0,0,0,0,0,0,0,0
70,Dustin,a,0,0,0,0,0,0,0,0,0
71,Paul,a,0,0,0,0,0,0,0,0,0
72,Angela,a,0,0,0,0,0,0,0,0,0
73,Tyler,a,0,0,0,0,0,0,0,0,0
74,Scott,a,0,0,0,0,0,0,0,0,0
75,Katherine,a,0,0,0,0,0,0,0,0,0
76,Andrea,a,0,0,0,0,0,0,0,0,0
77,Gregory,a,0,0,0,0,0,0,0,0,0
78,Erica,a,0,0,0,0,0,0,0,0,0
79,Mary,a,0,0,0,0,0,0,0,0,0
80,Travis,a,0,0,0,0,0,0,0,0,0
81,Lisa,a,0,0,0,0,0,0,0,0,0
82,Kenneth,a,0,0,0,0,0,0,0,0,0
83,Bryan,a,0,0,0,0,0,0,0,0,0
84,Lindsey,a,0,0,0,0,0,0,0,0,0
85,Kristen,a,0,0,0,0,0,0,0,0,0
86,Jose,a,0,0,0,0,0,0,0,0,0
87,Alexander,a,0,0,0,0,0,0,0,0,0
88,Jesse,a,0,0,0,0,0,0,0,0,0
89,Katie,a,0,0,0,0,0,0,0,0,0
90,Lindsay,a,0,0,0,0,0,0,0,0,0
91,Shannon,a,0,0,0,0,0,0,0,0,0
92,Vanessa,a,0,0,0,0,0,0,0,0,0
93,Courtney,a,0,0,0,0,0,0,0,0,0
94,Christine,a,0,0,0,0,0,0,0,0,0
95,Alicia,a,0,0,0,0,0,0,0,0,0
96,Cody,a,0,0,0,0,0,0,0,0,0
97,Allison,a,0,0,0,0,0,0,0,0,0
98,Bradley,a,0,0,0,0,0,0,0,0,0
99,Samuel,a,0,0,0,0,0,0,0,0,0
100,Shawn,b,0,0,0,0,0,0,0,0,0
101,April,b,0,0,0,0,0,0,0,0,0
102,Derek,b,0,0,0,0,0,0,0,0,0
103,Kathryn,b,0,0,0,0,0,0,0,0,0
104,Kristin,b,0,0,0,0,0,0,0,0,0
105,Chad,b,0,0,0,0,0,0,0,0,0
106,Jenna,b,0,0,0,0,0,0,0,0,0
107,Tara,b,0,0,0,0,0,0,0,0,0
108,Maria,b,0,0,0,0,0,0,0,0,0
109,Krystal,b,0,0,0,0,0,0,0,0,0
110,Jared,b,0,0,0,0,0,0,0,0,0
111,Anna,b,0,0,0,0,0,0,0,0,0
112,Edward,b,0,0,0,0,0,0,0,0,0
113,Julie,b,0,0,0,0,0,0,0,0,0
114,Peter,b,0,0,0,0,0,0,0,0,0
115,Holly,b,0,0,0,0,0,0,0,0,0
116,Marcus,b,0,0,0,0,0,0,0,0,0
117,Kristina,b,0,0,0,0,0,0,0,0,0
118,Natalie,b,0,0,0,0,0,0,0,0,0
119,Jordan,b,0,0,0,0,0,0,0,0,0
120,Victoria,b,0,0,0,0,0,0,0,0,0
121,Jacqueline,b,0,0,0,0,0,0,0,0,0
122,Corey,b,0,0,0,0,0,0,0,0,0
123,Keith,b,0,0,0,0,0,0,0,0,0
124,Monica,b,0,0,0,0,0,0,0,0,0
125,Juan,b,0,0,0,0,0,0,0,0,0
126,Donald,b,0,0,0,0,0,0,0,0,0
127,Cassandra,b,0,0,0,0,0,0,0,0,0
128,Meghan,b,0,0,0,0,0,0,0,0,0
129,Joel,b,0,0,0,0,0,0,0,0,0
130,Shane,b,0,0,0,0,0,0,0,0,0
131,Phillip,b,0,0,0,0,0,0,0,0,0
132,Patricia,b,0,0,0,0,0,0,0,0,0
133,Brett,b,0,0,0,0,0,0,0,0,0
134,Ronald,b,0,0,0,0,0,0,0,0,0
135,Catherine,b,0,0,0,0,0,0,0,0,0
136,George,b,0,0,0,0,0,0,0,0,0
137,Antonio,b,0,0,0,0,0,0,0,0,0
138,Cynthia,b,0,0,0,0,0,0,0,0,0
139,Stacy,b,0,0,0,0,0,0,0,0,0
140,Kathleen,b,0,0,0,0,0,0,0,0,0
141,Raymond,b,0,0,0,0,0,0,0,0,0
142,Carlos,b,0,0,0,0,0,0,0,0,0
143,Brandi,b,0,0,0,0,0,0,0,0,0
144,Douglas,b,0,0,0,0,0,0,0,0,0
145,Nathaniel,b,0,0,0,0,0,0,0,0,0
146,Ian,b,0,0,0,0,0,0,0,0,0
147,Craig,b,0,0,0,0,0,0,0,0,0
148,Brandy,b,0,0,0,0,0,0,0,0,0
149,Alex,b,0,0,0,0,0,0,0,0,0
150,Valerie,b,0,0,0,0,0,0,0,0,0
151,Veronica,b,0,0,0,0,0,0,0,0,0
152,Cory,b,0,0,0,0,0,0,0,0,0
153,Whitney,b,0,0,0,0,0,0,0,0,0
154,Gary,b,0,0,0,0,0,0,0,0,0
155,Derrick,b,0,0,0,0,0,0,0,0,0
156,Philip,b,0,0,0,0,0,0,0,0,0
157,Luis,b,0,0,0,0,0,0,0,0,0
158,Diana,b,0,0,0,0,0,0,0,0,0
159,Chelsea,b,0,0,0,0,0,0,0,0,0
160,Leslie,b,0,0,0,0,0,0,0,0,0
161,Caitlin,b,0,0,0,0,0,0,0,0,0
162,Leah,b,0,0,0,0,0,0,0,0,0
163,Natasha,b,0,0,0,0,0,0,0,0,0
164,Erika,b,0,0,0,0,0,0,0,0,0
165,Casey,b,0,0,0,0,0,0,0,0,0
166,Latoya,b,0,0,0,0,0,0,0,0,0
167,Erik,b,0,0,0,0,0,0,0,0,0
168,Dana,b,0,0,0,0,0,0,0,0,0
169,Victor,b,0,0,0,0,0,0,0,0,0
170,Brent,b,0,0,0,0,0,0,0,0,0
171,Dominique,b,0,0,0,0,0,0,0,0,0
172,Frank,b,0,0,0,0,0,0,0,0,0
173,Brittney,b,0,0,0,0,0,0,0,0,0
174,Evan,b,0,0,0,0,0,0,0,0,0
175,Gabriel,b,0,0,0,0,0,0,0,0,0
176,Julia,b,0,0,0,0,0,0,0,0,0
177,Candice,b,0,0,0,0,0,0,0,0,0
178,Karen,b,0,0,0,0,0,0,0,0,0
179,Melanie,b,0,0,0,0,0,0,0,0,0
180,Adrian,b,0,0,0,0,0,0,0,0,0
181,Stacey,b,0,0,0,0,0,0,0,0,0
182,Margaret,b,0,0,0,0,0,0,0,0,0
183,Sheena,b,0,0,0,0,0,0,0,0,0
184,Wesley,b,0,0,0,0,0,0,0,0,0
185,Vincent,b,0,0,0,0,0,0,0,0,0
186,Alexandra,b,0,0,0,0,0,0,0,0,0
187,Katrina,b,0,0,0,0,0,0,0,0,0
188,Bethany,b,0,0,0,0,0,0,0,0,0
189,Nichole,b,0,0,0,0,0,0,0,0,0
190,Larry,b,0,0,0,0,0,0,0,0,0
191,Jeffery,b,0,0,0,0,0,0,0,0,0
192,Curtis,b,0,0,0,0,0,0,0,0,0
193,Carrie,b,0,0,0,0,0,0,0,0,0
194,Todd,b,0,0,0,0,0,0,0,0,0
195,Blake,b,0,0,0,0,0,0,0,0,0
196,Christian,b,0,0,0,0,0,0,0,0,0
197,Randy,b,0,0,0,0,0,0,0,0,0
198,Dennis,b,0,0,0,0,0,0,0,0,0
199,Alison,b,0,0,0,0,0,0,0,0,0
200,Trevor,b,0,0,0,0,0,0,0,0,0
201,Seth,b,0,0,0,0,0,0,0,0,0
202,Kara,b,0,0,0,0,0,0,0,0,0
203,Joanna,b,0,0,0,0,0,0,0,0,0
204,Rachael,b,0,0,0,0,0,0,0,0,0
205,Luke,b,0,0,0,0,0,0,0,0,0
206,Felicia,b,0,0,0,0,0,0,0,0,0
207,Brooke,b,0,0,0,0,0,0,0,0,0
208,Austin,b,0,0,0,0,0,0,0,0,0
209,Candace,b,0,0,0,0,0,0,0,0,0
210,Jasmine,b,0,0,0,0,0,0,0,0,0
211,Jesus,b,0,0,0,0,0,0,0,0,0
212,Alan,b,0,0,0,0,0,0,0,0,0
213,Susan,b,0,0,0,0,0,0,0,0,0
214,Sandra,b,0,0,0,0,0,0,0,0,0
215,Tracy,b,0,0,0,0,0,0,0,0,0
216,Kayla,b,0,0,0,0,0,0,0,0,0
217,Nancy,b,0,0,0,0,0,0,0,0,0
218,Tina,b,0,0,0,0,0,0,0,0,0
219,Krystle,b,0,0,0,0,0,0,0,0,0
220,Russell,b,0,0,0,0,0,0,0,0,0
221,Jeremiah,b,0,0,0,0,0,0,0,0,0
222,Carl,b,0,0,0,0,0,0,0,0,0
223,Miguel,b,0,0,0,0,0,0,0,0,0
224,Tony,b,0,0,0,0,0,0,0,0,0
225,Alexis,b,0,0,0,0,0,0,0,0,0
226,Gina,b,0,0,0,0,0,0,0,0,0
227,Jillian,b,0,0,0,0,0,0,0,0,0
228,Pamela,b,0,0,0,0,0,0,0,0,0
229,Mitchell,b,0,0,0,0,0,0,0,0,0
230,Hannah,b,0,0,0,0,0,0,0,0,0
231,Renee,b,0,0,0,0,0,0,0,0,0
232,Denise,b,0,0,0,0,0,0,0,0,0
233,Molly,b,0,0,0,0,0,0,0,0,0
234,Jerry,b,0,0,0,0,0,0,0,0,0
235,Misty,b,0,0,0,0,0,0,0,0,0
236,Mario,b,0,0,0,0,0,0,0,0,0
237,Johnathan,b,0,0,0,0,0,0,0,0,0
238,Jaclyn,b,0,0,0,0,0,0,0,0,0
239,Brenda,b,0,0,0,0,0,0,0,0,0
240,Terry,b,0,0,0,0,0,0,0,0,0
241,Lacey,b,0,0,0,0,0,0,0,0,0
242,Shaun,b,0,0,0,0,0,0,0,0,0
243,Devin,b,0,0,0,0,0,0,0,0,0
244,Heidi,b,0,0,0,0,0,0,0,0,0
245,Troy,b,0,0,0,0,0,0,0,0,0
246,Lucas,b,0,0,0,0,0,0,0,0,0
247,Desiree,b,0,0,0,0,0,0,0,0,0
248,Jorge,b,0,0,0,0,0,0,0,0,0
249,Andre,b,0,0,0,0,0,0,0,0,0
250,Morgan,b,0,0,0,0,0,0,0,0,0
251,Drew,b,0,0,0,0,0,0,0,0,0
252,Sabrina,b,0,0,0,0,0,0,0,0,0
253,Miranda,b,0,0,0,0,0,0,0,0,0
254,Alyssa,b,0,0,0,0,0,0,0,0,0
255,Alisha,b,0,0,0,0,0,0,0,0,0
256,Teresa,b,0,0,0,0,0,0,0,0,0
257,Johnny,b,0,0,0,0,0,0,0,0,0
258,Meagan,b,0,0,0,0,0,0,0,0,0
259,Allen,b,0,0,0,0,0,0,0,0,0
260,Krista,b,0,0,0,0,0,0,0,0,0
261,Marc,b,0,0,0,0,0,0,0,0,0
262,Tabitha,b,0,0,0,0,0,0,0,0,0
263,Lance,b,0,0,0,0,0,0,0,0,0
264,Ricardo,b,0,0,0,0,0,0,0,0,0
265,Martin,b,0,0,0,0,0,0,0,0,0
266,Chase,b,0,0,0,0,0,0,0,0,0
267,Theresa,b,0,0,0,0,0,0,0,0,0
268,Melinda,b,0,0,0,0,0,0,0,0,0
269,Monique,b,0,0,0,0,0,0,0,0,0
270,Tanya,b,0,0,0,0,0,0,0,0,0
271,Linda,b,0,0,0,0,0,0,0,0,0
272,Kristopher,b,0,0,0,0,0,0,0,0,0
273,Bobby,b,0,0,0,0,0,0,0,0,0
274,Caleb,b,0,0,0,0,0,0,0,0,0
275,Ashlee,b,0,0,0,0,0,0,0,0,0
276,Kelli,b,0,0,0,0,0,0,0,0,0
277,Henry,b,0,0,0,0,0,0,0,0,0
278,Garrett,b,0,0,0,0,0,0,0,0,0
279,Mallory,b,0,0,0,0,0,0,0,0,0
280,Jill,b,0,0,0,0,0,0,0,0,0
281,Jonathon,b,0,0,0,0,0,0,0,0,0
282,Kristy,b,0,0,0,0,0,0,0,0,0
283,Anne,b,0,0,0,0,0,0,0,0,0
284,Francisco,b,0,0,0,0,0,0,0,0,0
285,Danny,b,0,0,0,0,0,0,0,0,0
286,Robin,b,0,0,0,0,0,0,0,0,0
287,Lee,b,0,0,0,0,0,0,0,0,0
288,Tamara,b,0,0,0,0,0,0,0,0,0
289,Manuel,b,0,0,0,0,0,0,0,0,0
290,Meredith,b,0,0,0,0,0,0,0,0,0
291,Colleen,b,0,0,0,0,0,0,0,0,0
292,Lawrence,b,0,0,0,0,0,0,0,0,0
293,Christy,b,0,0,0,0,0,0,0,0,0
294,Ricky,b,0,0,0,0,0,0,0,0,0
295,Randall,b,0,0,0,0,0,0,0,0,0
296,Marissa,b,0,0,0,0,0,0,0,0,0
297,Ross,b,0,0,0,0,0,0,0,0,0
298,Mathew,b,0,0,0,0,0,0,0,0,0
299,Jimmy,b,0,0,0,0,0,0,0,0,0
300,Abigail,b,0,0,0,0,0,0,0,0,0
301,Kendra,b,0,0,0,0,0,0,0,0,0
302,Carolyn,b,0,0,0,0,0,0,0,0,0
303,Billy,b,0,0,0,0,0,0,0,0,0
304,Deanna,b,0,0,0,0,0,0,0,0,0
305,Jenny,b,0,0,0,0,0,0,0,0,0
306,Jon,b,0,0,0,0,0,0,0,0,0
307,Albert,b,0,0,0,0,0,0,0,0,0
308,Taylor,b,0,0,0,0,0,0,0,0,0
309,Lori,b,0,0,0,0,0,0,0,0,0
310,Rebekah,b,0,0,0,0,0,0,0,0,0
311,Cameron,b,0,0,0,0,0,0,0,0,0
312,Ebony,b,0,0,0,0,0,0,0,0,0
313,Wendy,b,0,0,0,0,0,0,0,0,0
314,Angel,b,0,0,0,0,0,0,0,0,0
315,Micheal,b,0,0,0,0,0,0,0,0,0
316,Kristi,b,0,0,0,0,0,0,0,0,0
317,Caroline,b,0,0,0,0,0,0,0,0,0
318,Colin,b,0,0,0,0,0,0,0,0,0
319,Dawn,b,0,0,0,0,0,0,0,0,0
320,Kari,b,0,0,0,0,0,0,0,0,0
321,Clayton,b,0,0,0,0,0,0,0,0,0
322,Arthur,b,0,0,0,0,0,0,0,0,0
323,Roger,b,0,0,0,0,0,0,0,0,0
324,Roberto,b,0,0,0,0,0,0,0,0,0
325,Priscilla,b,0,0,0,0,0,0,0,0,0
326,Darren,b,0,0,0,0,0,0,0,0,0
327,Kelsey,b,0,0,0,0,0,0,0,0,0
328,Clinton,b,0,0,0,0,0,0,0,0,0
329,Walter,b,0,0,0,0,0,0,0,0,0
330,Louis,b,0,0,0,0,0,0,0,0,0
331,Barbara,b,0,0,0,0,0,0,0,0,0
332,Isaac,b,0,0,0,0,0,0,0,0,0
333,Cassie,b,0,0,0,0,0,0,0,0,0
334,Grant,b,0,0,0,0,0,0,0,0,0
335,Cristina,b,0,0,0,0,0,0,0,0,0
336,Tonya,b,0,0,0,0,0,0,0,0,0
337,Rodney,b,0,0,0,0,0,0,0,0,0
338,Bridget,b,0,0,0,0,0,0,0,0,0
339,Joe,b,0,0,0,0,0,0,0,0,0
340,Cindy,b,0,0,0,0,0,0,0,0,0
341,Oscar,b,0,0,0,0,0,0,0,0,0
342,Willie,b,0,0,0,0,0,0,0,0,0
343,Maurice,b,0,0,0,0,0,0,0,0,0
344,Jaime,b,0,0,0,0,0,0,0,0,0
345,Angelica,b,0,0,0,0,0,0,0,0,0
346,Sharon,b,0,0,0,0,0,0,0,0,0
347,Julian,b,0,0,0,0,0,0,0,0,0
348,Jack,b,0,0,0,0,0,0,0,0,0
349,Jay,b,0,0,0,0,0,0,0,0,0
350,Calvin,b,0,0,0,0,0,0,0,0,0
351,Marie,b,0,0,0,0,0,0,0,0,0
352,Hector,b,0,0,0,0,0,0,0,0,0
353,Kate,b,0,0,0,0,0,0,0,0,0
354,Adrienne,b,0,0,0,0,0,0,0,0,0
355,Tasha,b,0,0,0,0,0,0,0,0,0
356,Michele,b,0,0,0,0,0,0,0,0,0
357,Ana,b,0,0,0,0,0,0,0,0,0
358,Stefanie,b,0,0,0,0,0,0,0,0,0
359,Cara,b,0,0,0,0,0,0,0,0,0
360,Alejandro,b,0,0,0,0,0,0,0,0,0
361,Ruben,b,0,0,0,0,0,0,0,0,0
362,Gerald,b,0,0,0,0,0,0,0,0,0
363,Audrey,b,0,0,0,0,0,0,0,0,0
364,Kristine,b,0,0,0,0,0,0,0,0,0
365,Ann,b,0,0,0,0,0,0,0,0,0
366,Shana,b,0,0,0,0,0,0,0,0,0
367,Javier,b,0,0,0,0,0,0,0,0,0
368,Katelyn,b,0,0,0,0,0,0,0,0,0
369,Brianna,b,0,0,0,0,0,0,0,0,0
370,Bruce,b,0,0,0,0,0,0,0,0,0
371,Deborah,b,0,0,0,0,0,0,0,0,0
372,Claudia,b,0,0,0,0,0,0,0,0,0
373,Carla,b,0,0,0,0,0,0,0,0,0
374,Wayne,b,0,0,0,0,0,0,0,0,0
375,Roy,b,0,0,0,0,0,0,0,0,0
376,Virginia,b,0,0,0,0,0,0,0,0,0
377,Haley,b,0,0,0,0,0,0,0,0,0
378,Brendan,b,0,0,0,0,0,0,0,0,0
379,Janelle,b,0,0,0,0,0,0,0,0,0
380,Jacquelyn,b,0,0,0,0,0,0,0,0,0
381,Beth,b,0,0,0,0,0,0,0,0,0
382,Edwin,b,0,0,0,0,0,0,0,0,0
383,Dylan,b,0,0,0,0,0,0,0,0,0
384,Dominic,b,0,0,0,0,0,0,0,0,0
385,Latasha,b,0,0,0,0,0,0,0,0,0
386,Darrell,b,0,0,0,0,0,0,0,0,0
387,Geoffrey,b,0,0,0,0,0,0,0,0,0
388,Savannah,b,0,0,0,0,0,0,0,0,0
389,Reginald,b,0,0,0,0,0,0,0,0,0
390,Carly,b,0,0,0,0,0,0,0,0,0
391,Fernando,b,0,0,0,0,0,0,0,0,0
392,Ashleigh,b,0,0,0,0,0,0,0,0,0
393,Aimee,b,0,0,0,0,0,0,0,0,0
394,Regina,b,0,0,0,0,0,0,0,0,0
395,Mandy,b,0,0,0,0,0,0,0,0,0
396,Sergio,b,0,0,0,0,0,0,0,0,0
397,Rafael,b,0,0,0,0,0,0,0,0,0
398,Pedro,b,0,0,0,0,0,0,0,0,0
399,Janet,b,0,0,0,0,0,0,0,0,0
400,Kaitlin,b,0,0,0,0,0,0,0,0,0
401,Frederick,b,0,0,0,0,0,0,0,0,0
402,Cheryl,b,0,0,0,0,0,0,0,0,0
403,Autumn,b,0,0,0,0,0,0,0,0,0
404,Tyrone,b,0,0,0,0,0,0,0,0,0
405,Martha,b,0,0,0,0,0,0,0,0,0
406,Omar,b,0,0,0,0,0,0,0,0,0
407,Lydia,b,0,0,0,0,0,0,0,0,0
408,Jerome,b,0,0,0,0,0,0,0,0,0
409,Theodore,b,0,0,0,0,0,0,0,0,0
410,Abby,b,0,0,0,0,0,0,0,0,0
411,Neil,b,0,0,0,0,0,0,0,0,0
412,Shawna,b,0,0,0,0,0,0,0,0,0
413,Sierra,b,0,0,0,0,0,0,0,0,0
414,Nina,b,0,0,0,0,0,0,0,0,0
415,Tammy,b,0,0,0,0,0,0,0,0,0
416,Nikki,b,0,0,0,0,0,0,0,0,0
417,Terrance,b,0,0,0,0,0,0,0,0,0
418,Donna,b,0,0,0,0,0,0,0,0,0
419,Claire,b,0,0,0,0,0,0,0,0,0
420,Cole,b,0,0,0,0,0,0,0,0,0
421,Trisha,b,0,0,0,0,0,0,0,0,0
422,Bonnie,b,0,0,0,0,0,0,0,0,0
423,Diane,b,0,0,0,0,0,0,0,0,0
424,Summer,b,0,0,0,0,0,0,0,0,0
425,Carmen,b,0,0,0,0,0,0,0,0,0
426,Mayra,b,0,0,0,0,0,0,0,0,0
427,Jermaine,b,0,0,0,0,0,0,0,0,0
428,Eddie,b,0,0,0,0,0,0,0,0,0
429,Micah,b,0,0,0,0,0,0,0,0,0
430,Marvin,b,0,0,0,0,0,0,0,0,0
431,Levi,b,0,0,0,0,0,0,0,0,0
432,Emmanuel,b,0,0,0,0,0,0,0,0,0
433,Brad,b,0,0,0,0,0,0,0,0,0
434,Taryn,b,0,0,0,0,0,0,0,0,0
435,Toni,b,0,0,0,0,0,0,0,0,0
436,Jessie,b,0,0,0,0,0,0,0,0,0
437,Evelyn,b,0,0,0,0,0,0,0,0,0
438,Darryl,b,0,0,0,0,0,0,0,0,0
439,Ronnie,b,0,0,0,0,0,0,0,0,0
440,Joy,b,0,0,0,0,0,0,0,0,0
441,Adriana,b,0,0,0,0,0,0,0,0,0
442,Ruth,b,0,0,0,0,0,0,0,0,0
443,Mindy,b,0,0,0,0,0,0,0,0,0
444,Spencer,b,0,0,0,0,0,0,0,0,0
445,Noah,b,0,0,0,0,0,0,0,0,0
446,Raul,b,0,0,0,0,0,0,0,0,0
447,Suzanne,b,0,0,0,0,0,0,0,0,0
448,Sophia,b,0,0,0,0,0,0,0,0,0
449,Dale,b,0,0,0,0,0,0,0,0,0
450,Jodi,b,0,0,0,0,0,0,0,0,0
451,Christie,b,0,0,0,0,0,0,0,0,0
452,Raquel,b,0,0,0,0,0,0,0,0,0
453,Naomi,b,0,0,0,0,0,0,0,0,0
454,Kellie,b,0,0,0,0,0,0,0,0,0
455,Ernest,b,0,0,0,0,0,0,0,0,0
456,Jake,b,0,0,0,0,0,0,0,0,0
457,Grace,b,0,0,0,0,0,0,0,0,0
458,Tristan,b,0,0,0,0,0,0,0,0,0
459,Shanna,b,0,0,0,0,0,0,0,0,0
460,Hilary,b,0,0,0,0,0,0,0,0,0
461,Eduardo,b,0,0,0,0,0,0,0,0,0
462,Ivan,b,0,0,0,0,0,0,0,0,0
463,Hillary,b,0,0,0,0,0,0,0,0,0
464,Yolanda,b,0,0,0,0,0,0,0,0,0
465,Alberto,b,0,0,0,0,0,0,0,0,0
466,Andres,b,0,0,0,0,0,0,0,0,0
467,Olivia,b,0,0,0,0,0,0,0,0,0
468,Armando,b,0,0,0,0,0,0,0,0,0
469,Paula,b,0,0,0,0,0,0,0,0,0
470,Amelia,b,0,0,0,0,0,0,0,0,0
471,Sheila,b,0,0,0,0,0,0,0,0,0
472,Rosa,b,0,0,0,0,0,0,0,0,0
473,Robyn,b,0,0,0,0,0,0,0,0,0
474,Kurt,b,0,0,0,0,0,0,0,0,0
475,Dane,b,0,0,0,0,0,0,0,0,0
476,Glenn,b,0,0,0,0,0,0,0,0,0
477,Nicolas,b,0,0,0,0,0,0,0,0,0
478,Gloria,b,0,0,0,0,0,0,0,0,0
479,Eugene,b,0,0,0,0,0,0,0,0,0
480,Logan,b,0,0,0,0,0,0,0,0,0
481,Steve,b,0,0,0,0,0,0,0,0,0
482,Ramon,b,0,0,0,0,0,0,0,0,0
483,Bryce,b,0,0,0,0,0,0,0,0,0
484,Tommy,b,0,0,0,0,0,0,0,0,0
485,Preston,b,0,0,0,0,0,0,0,0,0
486,Keri,b,0,0,0,0,0,0,0,0,0
487,Devon,b,0,0,0,0,0,0,0,0,0
488,Alana,b,0,0,0,0,0,0,0,0,0
489,Marisa,b,0,0,0,0,0,0,0,0,0
490,Melody,b,0,0,0,0,0,0,0,0,0
491,Rose,b,0,0,0,0,0,0,0,0,0
492,Barry,b,0,0,0,0,0,0,0,0,0
493,Marco,b,0,0,0,0,0,0,0,0,0
494,Karl,b,0,0,0,0,0,0,0,0,0
495,Daisy,b,0,0,0,0,0,0,0,0,0
496,Leonard,b,0,0,0,0,0,0,0,0,0
497,Randi,b,0,0,0,0,0,0,0,0,0
498,Maggie,b,0,0,0,0,0,0,0,0,0
499,Charlotte,b,0,0,0,0,0,0,0,0,0
500,Emma,c,0,0,0,0,0,0,0,0,0
501,Terrence,c,0,0,0,0,0,0,0,0,0
502,Justine,c,0,0,0,0,0,0,0,0,0
503,Britney,c,0,0,0,0,0,0,0,0,0
504,Lacy,c,0,0,0,0,0,0,0,0,0
505,Jeanette,c,0,0,0,0,0,0,0,0,0
506,Francis,c,0,0,0,0,0,0,0,0,0
507,Tyson,c,0,0,0,0,0,0,0,0,0
508,Elise,c,0,0,0,0,0,0,0,0,0
509,Sylvia,c,0,0,0,0,0,0,0,0,0
510,Rachelle,c,0,0,0,0,0,0,0,0,0
511,Stanley,c,0,0,0,0,0,0,0,0,0
512,Debra,c,0,0,0,0,0,0,0,0,0
513,Brady,c,0,0,0,0,0,0,0,0,0
514,Charity,c,0,0,0,0,0,0,0,0,0
515,Hope,c,0,0,0,0,0,0,0,0,0
516,Melvin,c,0,0,0,0,0,0,0,0,0
517,Johanna,c,0,0,0,0,0,0,0,0,0
518,Karla,c,0,0,0,0,0,0,0,0,0
